Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
165	0.322222222	0.988888889	0.97654321	0.944444444	0.972727273	1.007692308	0.98	0.985714286
166	0.12962963	1.015873016	0.987654321	0.932098765	0.972727273	0.977777778	1.000740741	0.985714286
167	0.034567901	0.943209877	0.966666667	0.966666667	0.935353535	0.984615385	0.972592593	0.968253968
168	0.432098765	1	1.012345679	0.944444444	1.001010101	0.973626374	0.986666667	1
169	0.455555556	0.977777778	0.988888889	0.966666667	0.981818182	1.008547009	1.006666667	0.955555556
170	0.477777778	0.977777778	0.977777778	0.92962963	0.972727273	0.946153846	0.966666667	0.941269841
171	0.745679012	0.988888889	1	0.932098765	0.990909091	0.969230769	0.966666667	0.985714286
172	0.643209877	0.988888889	0.977777778	0.977777778	0.962626263	0.992307692	0.979259259	1.014285714
173	0.677777778	0.988888889	0.988888889	0.988888889	0.991919192	0.976923077	0.987407407	0.975
174	0.422222222	0.990432099	1	0.955555556	0.972727273	0.953846154	0.953333333	0.971428571
175	0	0.988888889	0.977777778	0.933333333	1.01010101	0.984615385	0.993333333	1
176	0	1.001234568	0.977777778	0.967901235	0.945454545	0.976923077	0.98	0.957142857
177	0.033333333	0.939197531	0.987654321	0.977777778	0.98989899	0.985470085	1	1.001587302
178	0.138271605	0.988888889	0.988888889	0.965432099	0.990909091	1	0.974074074	0.942857143
179	0.633333333	0.988888889	0.977777778	0.941975309	0.982828283	0.976923077	0.986666667	0.971428571
180	0.7	0.977777778	1	0.988888889	0.990909091	0.985470085	0.986666667	0.985714286
181	0.655555556	0.97654321	0.977777778	0.955555556	0.981818182	0.984615385	0.98	1
182	0.655555556	1	1.02345679	0.955555556	0.990909091	0.984615385	0.993333333	0.971428571
183	0.477777778	1	0.966666667	0.933333333	0.980808081	0.979945055	0.964259259	0.96984127
184	0	0.988888889	0.987654321	0.965432099	0.979545455	0.968376068	0.978333333	0.998412698
185	0.033333333	0.95308642	1	1.034567901	1.001262626	1.001068376	1.000925926	0.985714286
186	0.133333333	1.035802469	0.967901235	0.932098765	0.982828283	0.938461538	0.939259259	1
187	0.144444444	0.955555556	0.955555556	0.988888889	0.972727273	1	0.992592593	0.957142857
188	0.355555556	0.988888889	0.977777778	1	0.981818182	0.992307692	0.959259259	0.928571429
189	0.77654321	0.967901235	0.97654321	0.998765432	0.963636364	0.978846154	0.955	1
190	0.722222222	0.988888889	0.991666667	0.965432099	0.981818182	0.984615385	1	0.985714286
191	0.666666667	0.988888889	0.988888889	0.862962963	1	0.984615385	0.978518519	0.985714286
192	0.588888889	0.966666667	0.966666667	0.988888889	0.970707071	0.977777778	0.985925926	1
193	0.445987654	1.011111111	1.024691358	0.944444444	0.981818182	0.968376068	0.965925926	1.014285714
194	0.034567901	1.001234568	0.97654321	0.977777778	0.991919192	0.975213675	0.987407407	0.955555556
195	0.044444444	0.979012346	0.977777778	0.930864198	0.990909091	0.976923077	0.986666667	1.015873016
196	0.1	0.954320988	0.943209877	0.966666667	1.001010101	0.967521368	0.971851852	0.985714286
197	0.244444444	0.944444444	0.964197531	0.952777778	0.972727273	0.968376068	0.972592593	0.985714286
198	0.432098765	1	1.011111111	0.97654321	0.971717172	0.952136752	0.959259259	0.944444444
199	0.688888889	1	0.977777778	0.943209877	0.980808081	0.992307692	1.006666667	0.955555556
200	0.655555556	0.97654321	0.988888889	0.977777778	1	0.976923077	0.978518519	0.985714286
201	0.443209877	0.988888889	0.988888889	1.001234568	0.990909091	1.003296703	0.98	1.014285714
202	0.055555556	1	1.011111111	1	1.002272727	1	0.985925926	0.941269841
203	0.012345679	1.011111111	1	0.987654321	0.990909091	0.993162393	1.015555556	1.015873016
204	0.034567901	0.97654321	0.97654321	0.965432099	1.01010101	0.992307692	0.986666667	0.971428571
205	0.266666667	0.977777778	1.022222222	0.966666667	0.980808081	0.992307692	0.965925926	1.001587302
206	0.555555556	0.988888889	0.966666667	0.955555556	0.981818182	0.983760684	1.002857143	1.001587302
207	0.688888889	1	1	0.988888889	0.990909091	0.976923077	0.973333333	0.971428571
208	0.677777778	0.987654321	0.988888889	0.990123457	0.969444444	0.983760684	0.993333333	0.985714286
209	0.65308642	0.988888889	0.97654321	0.955555556	1.009090909	1.008547009	0.98	1
210	0.451851852	0.988888889	1.011111111	0.954320988	0.961363636	0.977777778	1.007407407	0.941269841
211	0.4	1.012345679	0.97654321	0.966666667	1.018181818	1.007692308	0.985925926	0.985714286
212	0.140740741	0.95308642	0.97654321	0.977777778	0.963636364	0.968376068	0.98	0.985714286
213	0.172839506	0.97654321	0.95308642	0.930864198	0.98989899	0.976923077	0.979259259	1
214	0.503703704	0.966666667	0.966666667	0.877777778	0.990909091	0.992307692	0.993333333	1
215	0.564197531	0.955555556	0.977777778	0.952777778	0.980808081	0.976068376	0.979259259	0.985714286
216	0.688888889	0.975308642	0.975308642	0.941975309	0.981818182	0.961538462	0.981666667	1
217	0.688888889	0.977777778	0.966666667	0.977777778	0.990909091	1	0.986666667	0.971428571
218	0.5	0.987654321	0.975308642	0.977777778	0.98989899	0.984615385	0.980740741	0.984126984
219	0.444444444	0.965432099	0.97654321	0.977777778	0.981818182	1	0.992592593	1
220	0.377777778	0.988888889	0.97654321	0.97654321	1.01010101	1	0.98	0.968253968
221	0.045679012	0.988888889	1.002777778	0.97654321	1.002020202	0.976923077	0.98	0.984126984
222	0.155555556	0.977777778	0.977777778	0.943209877	0.964646465	1.022222222	0.986666667	0.96984127
223	0.166666667	0.988888889	0.977777778	0.965432099	0.990909091	0.951282051	0.972592593	0.941269841
224	0.277777778	0.988888889	1	0.977777778	1	1.009401709	1.007407407	1.012698413
225	0.555555556	0.977777778	0.977777778	0.966666667	0.954545455	0.960683761	0.965925926	0.96984127
226	0.666666667	0.988888889	0.977777778	1.001234568	0.981818182	0.991452991	0.95037037	1
227	0.444444444	0.97654321	0.965432099	0.944444444	1	1.000854701	0.98	0.985714286
