Time Node gini
19 gw-166 0
19 gw-171 0.724598
19 gw-173 0.114515
19 gw-172 0
19 gw-174 0
19 gw-182 0.277778
19 gw-239 0.32
19 gw-285 0
19 gw-242 0.75
19 gw-229 0.100221
19 gw-213 0.716049
19 gw-187 0.493827
19 gw-188 0
19 gw-218 0.5
19 gw-207 0.32
19 gw-217 0.592593
19 gw-255 0
19 gw-214 0.592593
19 gw-245 0
19 gw-222 0
19 gw-208 0.244898
19 gw-295 0.277778
19 gw-312 0.631118
19 gw-219 0
19 gw-304 0.5
19 gw-293 0
19 gw-234 0.567965
19 gw-303 0
19 gw-235 0.0915311
19 gw-247 0
19 gw-316 0
19 gw-317 0
19 gw-279 0
